"filename", "language", "CMake", "C++", "YAML", "Dart", "Markdown", "JSON", "Swift", "XML", "HTML", "Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\admin-dashboard\nav_bar.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 93
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\admin-dashboard\settings_page.dart", "Dart", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 162
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\analytics-modules\analytics_page.dart", "Dart", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 190
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\analytics-modules\pdf_generator.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 73
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\analytics-modules\tacking_list.dart", "Dart", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 216
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\analytics-modules\tracking_detail_page.dart", "Dart", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 185
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\login-modules\forgot_password.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 123
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\login-modules\login.dart", "Dart", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 238
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\login-modules\login_form.dart", "Dart", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 106
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\login-modules\login_header.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\login-modules\reset_password.dart", "Dart", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 158
